Metric,Value,Type
Accuracy,0.8867,Overall
Top-3 Accuracy,0.9789,Overall
Top-5 Accuracy,0.994,Overall
Macro Precision,0.8656,Overall
Macro Recall,0.8854,Overall
Macro F1,0.8664,Overall
Weighted Precision,0.8956,Overall
Weighted Recall,0.8867,Overall
Weighted F1,0.8871,Overall
Precision,0.8154,Class_calling
Recall,0.8413,Class_calling
F1-Score,0.8281,Class_calling
Support,126.0,Class_calling
Precision,0.8655,Class_clapping
Recall,0.8175,Class_clapping
F1-Score,0.8408,Class_clapping
Support,126.0,Class_clapping
Precision,0.9767,Class_cycling
Recall,1.0,Class_cycling
F1-Score,0.9882,Class_cycling
Support,126.0,Class_cycling
Precision,0.9407,Class_dancing
Recall,0.881,Class_dancing
F1-Score,0.9098,Class_dancing
Support,126.0,Class_dancing
Precision,0.8705,Class_drinking
Recall,0.9603,Class_drinking
F1-Score,0.9132,Class_drinking
Support,126.0,Class_drinking
Precision,0.9538,Class_eating
Recall,0.9841,Class_eating
F1-Score,0.9688,Class_eating
Support,126.0,Class_eating
Precision,0.8971,Class_fighting
Recall,0.9683,Class_fighting
F1-Score,0.9313,Class_fighting
Support,126.0,Class_fighting
Precision,0.9015,Class_hugging
Recall,0.9444,Class_hugging
F1-Score,0.9225,Class_hugging
Support,126.0,Class_hugging
Precision,0.8934,Class_laughing
Recall,0.8651,Class_laughing
F1-Score,0.879,Class_laughing
Support,126.0,Class_laughing
Precision,0.9083,Class_listening_to_music
Recall,0.7857,Class_listening_to_music
F1-Score,0.8426,Class_listening_to_music
Support,126.0,Class_listening_to_music
Precision,0.9583,Class_running
Recall,0.9127,Class_running
F1-Score,0.935,Class_running
Support,126.0,Class_running
Precision,0.8864,Class_sitting
Recall,0.619,Class_sitting
F1-Score,0.729,Class_sitting
Support,126.0,Class_sitting
Precision,0.8633,Class_sleeping
Recall,0.9524,Class_sleeping
F1-Score,0.9057,Class_sleeping
Support,126.0,Class_sleeping
Precision,0.3878,Class_texting
Recall,0.8636,Class_texting
F1-Score,0.5352,Class_texting
Support,22.0,Class_texting
